Word Gold_Standard Prediction
SOCCER O O
- O O
JAPAN B-LOC O
GET O O
LUCKY O O
WIN O O
, O O
CHINA B-PER O
IN O O
SURPRISE O O
DEFEAT O O
. O O

nadim B-PER O
ladki I-PER O

AL-AIN B-LOC O
, O O
united B-LOC B-LOC
arab I-LOC I-LOC
emirates I-LOC O
1996-12-06 O O

japan B-LOC B-LOC
began O O
the O O
defence O O
of O O
their O O
asian B-MISC O
cup I-MISC O
title O O
with O O
a O O
lucky O O
2-1 O O
win O O
against O O
syria B-LOC O
in O O
a O O
group O O
C O O
championship O O
match O O
on O O
friday O O
. O O

but O O
china B-LOC B-LOC
saw O O
their O O
luck O O
desert O O
them O O
in O O
the O O
second O O
match O O
of O O
the O O
group O O
, O O
crashing O O
to O O
a O O
surprise O O
2-0 O O
defeat O O
to O O
newcomers O O
uzbekistan B-LOC O
. O O

china B-LOC B-LOC
controlled O O
most O O
of O O
the O O
match O O
and O O
saw O O
several O O
chances O O
missed O O
until O O
the O O
78th O O
minute O O
when O O
uzbek B-MISC O
striker O O
igor B-PER O
shkvyrin I-PER O
took O O
advantage O O
of O O
a O O
misdirected O O
defensive O O
header O O
to O O
lob O O
the O O
ball O O
over O O
the O O
advancing O O
chinese B-MISC O
keeper O O
and O O
into O O
an O O
empty O O
net O O
. O O

oleg B-PER O
shatskiku I-PER O
made O O
sure O O
of O O
the O O
win O O
in O O
injury O O
time O O
, O O
hitting O O
an O O
unstoppable O O
left O O
foot O O
shot O O
from O O
just O O
outside O O
the O O
area O O
. O O

the O O
former O O
soviet B-MISC B-MISC
republic O I-LOC
was O O
playing O O
in O O
an O O
asian B-MISC O
cup I-MISC O
finals O O
tie O O
for O O
the O O
first O O
time O O
. O O

despite O O
winning O O
the O O
asian B-MISC O
games I-MISC O
title O O
two O O
years O O
ago O O
, O O
uzbekistan B-LOC O
are O O
in O O
the O O
finals O O
as O O
outsiders O O
. O O

two O O
goals O O
from O O
defensive O O
errors O O
in O O
the O O
last O O
six O O
minutes O O
allowed O O
japan B-LOC O
to O O
come O O
from O O
behind O O
and O O
collect O O
all O O
three O O
points O O
from O O
their O O
opening O O
meeting O O
against O O
syria B-LOC B-LOC
. O O

takuya B-PER O
takagi I-PER O
scored O O
the O O
winner O O
in O O
the O O
88th O O
minute O O
, O O
rising O O
to O O
head O O
a O O
hiroshige B-PER O
yanagimoto I-PER O
cross O O
towards O O
the O O
syrian B-MISC O
goal O O
which O O
goalkeeper O O
salem B-PER O
bitar I-PER O
appeared O O
to O O
have O O
covered O O
but O O
then O O
allowed O O
to O O
slip O O
into O O
the O O
net O O
. O O

it O O
was O O
the O O
second O O
costly O O
blunder O O
by O O
syria B-LOC B-LOC
in O O
four O O
minutes O O
. O O

defender O O
hassan B-PER B-PER
abbas I-PER I-PER
rose O O
to O O
intercept O O
a O O
long O O
ball O O
into O O
the O O
area O O
in O O
the O O
84th O O
minute O O
but O O
only O O
managed O O
to O O
divert O O
it O O
into O O
the O O
top O O
corner O O
of O O
bitar B-PER O
's O O
goal O O
. O O

nader B-PER O
jokhadar I-PER O
had O O
given O O
syria B-LOC O
the O O
lead O O
with O O
a O O
well-struck O O
header O O
in O O
the O O
seventh O O
minute O O
. O O

japan B-LOC B-LOC
then O O
laid O O
siege O O
to O O
the O O
syrian B-MISC O
penalty O O
area O O
for O O
most O O
of O O
the O O
game O O
but O O
rarely O O
breached O O
the O O
syrian B-MISC O
defence O O
. O O

bitar B-PER O
pulled O O
off O O
fine O O
saves O O
whenever O O
they O O
did O O
. O O

japan B-LOC B-LOC
coach O O
shu B-PER O
kamo I-PER O
said O O
: O O
' O O
' O O
the O O
syrian B-MISC O
own O O
goal O O
proved O O
lucky O O
for O O
us O O
. O O

the O O
syrians B-MISC O
scored O O
early O O
and O O
then O O
played O O
defensively O O
and O O
adopted O O
long O O
balls O O
which O O
made O O
it O O
hard O O
for O O
us O O
. O O
' O O

' O O

japan B-LOC B-LOC
, O O
co-hosts O O
of O O
the O O
world B-MISC O
cup I-MISC O
in O O
2002 O O
and O O
ranked O O
20th O O
in O O
the O O
world O O
by O O
FIFA B-ORG O
, O O
are O O
favourites O O
to O O
regain O O
their O O
title O O
here O O
. O O

hosts O O
UAE B-LOC O
play O O
kuwait B-LOC O
and O O
south B-LOC O
korea I-LOC I-LOC
take O O
on O O
indonesia B-LOC O
on O O
saturday O O
in O O
group O O
A O O
matches O O
. O O

all O O
four O O
teams O O
are O O
level O O
with O O
one O O
point O O
each O O
from O O
one O O
game O O
. O O

RUGBY B-ORG B-ORG
UNION I-ORG I-ORG
- O O
CUTTITTA B-PER O
BACK O O
FOR O O
ITALY B-LOC O
AFTER O O
A O O
YEAR O O
. O O

ROME B-LOC B-LOC
1996-12-06 O O

italy B-LOC B-LOC
recalled O O
marcello B-PER O
cuttitta I-PER O

on O O
friday O O
for O O
their O O
friendly O O
against O O
scotland B-LOC B-LOC
at O O
murrayfield B-LOC O
more O O
than O O
a O O
year O O
after O O
the O O
30-year-old O O
wing O O
announced O O
he O O
was O O
retiring O O
following O O
differences O O
over O O
selection O O
. O O

cuttitta B-PER O
, O O
who O O
trainer O O
george B-PER O
coste I-PER O
said O O
was O O
certain O O
to O O
play O O
on O O
saturday O O
week O O
, O O
was O O
named O O
in O O
a O O
21-man O O
squad O O
lacking O O
only O O
two O O
of O O
the O O
team O O
beaten O O
54-21 O O
by O O
england B-LOC B-LOC
at O O
twickenham B-LOC O
last O O
month O O
. O O

stefano B-PER O
bordon I-PER O
is O O
out O O
through O O
illness O O
and O O
coste B-PER O
said O O
he O O
had O O
dropped O O
back O O
row O O
corrado B-PER O
covi I-PER O
, O O
who O O
had O O
been O O
recalled O O
for O O
the O O
england B-LOC B-LOC
game O O
after O O
five O O
years O O
out O O
of O O
the O O
national O O
team O O
. O O

cuttitta B-PER O
announced O O
his O O
retirement O O
after O O
the O O
1995 B-MISC O
world I-MISC O
cup I-MISC O
, O O
where O O
he O O
took O O
issue O O
with O O
being O O
dropped O O
from O O
the O O
italy B-LOC B-LOC
side O O
that O O
faced O O
england B-LOC B-LOC
in O O
the O O
pool O O
stages O O
. O O

coste B-PER O
said O O
he O O
had O O
approached O O
the O O
player O O
two O O
months O O
ago O O
about O O
a O O
comeback O O
. O O

" O O
he O O
ended O O
the O O
world B-MISC O
cup I-MISC O
on O O
the O O
wrong O O
note O O
, O O
" O O
coste B-PER O
said O O
. O O

" O O
I O O
thought O O
it O O
would O O
be O O
useful O O
to O O
have O O
him O O
back O O
and O O
he O O
said O O
he O O
would O O
be O O
available O O
. O O

I O O
think O O
now O O
is O O
the O O
right O O
time O O
for O O
him O O
to O O
return O O
. O O
" O O

squad O O
: O O
javier B-PER O
pertile I-PER O
, O O
paolo B-PER O
vaccari I-PER O
, O O
marcello B-PER O
cuttitta I-PER O
, O O
ivan B-PER O
francescato I-PER O
, O O
leandro B-PER O
manteri I-PER O
, O O
diego B-PER O
dominguez I-PER O
, O O
francesco B-PER O
mazzariol I-PER O
, O O
alessandro B-PER O
troncon I-PER O
, O O
orazio B-PER O
arancio I-PER O
, O O
andrea B-PER B-PER
sgorlon I-PER O
, O O
massimo B-PER O
giovanelli I-PER O
, O O
carlo B-PER B-PER
checchinato I-PER O
, O O
walter B-PER B-PER
cristofoletto I-PER O
, O O
franco B-PER O
properzi I-PER O
curti I-PER O
, O O
carlo B-PER O
orlandi I-PER O
, O O
massimo B-PER O
cuttitta I-PER O
, O O
giambatista B-PER O
croci I-PER O
, O O
gianluca B-PER O
guidi I-PER O
, O O
nicola B-PER O
mazzucato I-PER O
, O O
alessandro B-PER O
moscardi I-PER O
, O O
andrea B-PER B-PER
castellani I-PER O
. O O

SOCCER O O
- O O
LATE O O
GOALS O O
GIVE O O
JAPAN B-LOC O
WIN O O
OVER O O
SYRIA B-LOC O
. O O

AL-AIN B-LOC O
, O O
united B-LOC B-LOC
arab I-LOC I-LOC
emirates I-LOC O
1996-12-06 O O

two O O
goals O O
in O O
the O O
last O O
six O O
minutes O O
gave O O
holders O O
japan B-LOC B-LOC
an O O
uninspiring O O
2-1 O O
asian B-MISC O
cup I-MISC O
victory O O
over O O
syria B-LOC B-LOC
on O O
friday O O
. O O

takuya B-PER O
takagi I-PER O
headed O O
the O O
winner O O
in O O
the O O
88th O O
minute O O
of O O
the O O
group O O
C O O
game O O
after O O
goalkeeper O O
salem B-PER O
bitar I-PER O
spoiled O O
a O O
mistake-free O O
display O O
by O O
allowing O O
the O O
ball O O
to O O
slip O O
under O O
his O O
body O O
. O O

it O O
was O O
the O O
second O O
syrian B-MISC O
defensive O O
blunder O O
in O O
four O O
minutes O O
. O O

defender O O
hassan B-PER B-PER
abbas I-PER I-PER
rose O O
to O O
intercept O O
a O O
long O O
ball O O
into O O
the O O
area O O
in O O
the O O
84th O O
minute O O
but O O
only O O
managed O O
to O O
divert O O
it O O
into O O
the O O
top O O
corner O O
of O O
bitar B-PER O
's O O
goal O O
. O O

syria B-LOC B-LOC
had O O
taken O O
the O O
lead O O
from O O
their O O
first O O
serious O O
attack O O
in O O
the O O
seventh O O
minute O O
. O O

nader B-PER O
jokhadar I-PER O
headed O O
a O O
cross O O
from O O
the O O
right O O
by O O
ammar B-PER O
awad I-PER O
into O O
the O O
top O O
right O O
corner O O
of O O
kenichi B-PER O
shimokawa I-PER O
's O O
goal O O
. O O

japan B-LOC B-LOC
then O O
laid O O
siege O O
to O O
the O O
syrian B-MISC O
penalty O O
area O O
and O O
had O O
a O O
goal O O
disallowed O O
for O O
offside O O
in O O
the O O
16th O O
minute O O
. O O

A O O
minute O O
later O O
, O O
bitar B-PER O
produced O O
a O O
good O O
double O O
save O O
, O O
first O O
from O O
kazuyoshi B-PER O
miura I-PER O
's O O
header O O
and O O
then O O
blocked O O
a O O
takagi B-PER O
follow-up O O
shot O O
. O O

bitar B-PER O
saved O O
well O O
again O O
from O O
miura B-PER O
in O O
the O O
37th O O
minute O O
, O O
parrying O O
away O O
his O O
header O O
from O O
a O O
corner O O
. O O

japan B-LOC B-LOC
started O O
the O O
second O O
half O O
brightly O O
but O O
bitar B-PER O
denied O O
them O O
an O O
equaliser O O
when O O
he O O
dived O O
to O O
his O O
right O O
to O O
save O O
naoki B-PER O
soma I-PER O
's O O
low O O
drive O O
in O O
the O O
53rd O O
minute O O
. O O

japan B-LOC B-LOC
: O O
19 O O
- O O
kenichi B-PER O
shimokawa I-PER O
, O O
2 O O
- O O
hiroshige B-PER O
yanagimoto I-PER O
, O O
3 O O
- O O
naoki B-PER O
soma I-PER O
, O O
4 O O
- O O
masami B-PER O
ihara I-PER O
, O O
5 O O
- O O
norio B-PER O
omura I-PER O
, O O
6 O O
- O O
motohiro B-PER O
yamaguchi I-PER O
, O O
8 O O
- O O
masakiyo B-PER O
maezono I-PER O
( O O
7 O O
- O O
yasuto B-PER O
honda I-PER B-ORG
71 O O
) O O
, O O
9 O O
- O O
takuya B-PER O
takagi I-PER O
, O O
